text_id,condition_id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,QI,PI,AR,model,temperature,group,tier,bibliometrics,name,institution,h_index,citations,clean_textID,clean_domain,clean_len
text01-BIO-SHORT-2505.02276v1,BF_HI_HP,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.0,-2.0,1.0,1.0,-1.5,1.0,gemma,0.01,BF,HI,HP,Tanisha Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_HP,2.0,2.0,-2.0,3.0,2.6,1.6,0.6,1.0,-1.0,0.0,2.0,1.0,1.0,2.0,1.971428571428571,1.0,2.0,gpt,0.01,BF,HI,HP,Tanisha Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_HP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,BF,HI,HP,Tanisha Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_HP,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,BF,HI,HP,Tanisha Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_HP,2.0,2.0,-1.0,3.0,2.2,2.0,2.0,2.0,0.2,-0.8,1.2,2.0,0.2,2.0,2.0285714285714285,0.7333333333333333,2.0,qwen,0.01,BF,HI,HP,Tanisha Mosley,Imperial College London,32,8000,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_LP,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.8,-2.0,1.0,1.0,-1.6333333333333335,1.0,gemma,0.01,BF,HI,LP,Tanisha Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_LP,2.0,2.0,-2.0,3.0,2.0,1.0,0.0,1.0,-1.0,0.0,2.0,1.0,1.0,2.0,1.7142857142857142,1.0,2.0,gpt,0.01,BF,HI,LP,Tanisha Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_LP,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.16666666666666666,2.0,llama,0.01,BF,HI,LP,Tanisha Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_LP,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,BF,HI,LP,Tanisha Mosley,Imperial College London,8,320,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI_LP,2.0,2.0,-1.0,2.2,2.0,1.0,1.8,1.2,0.8,-1.0,0.2,2.0,0.0,2.0,1.7142857142857142,0.26666666666666666,2.0,qwen,0.01,BF,HI,LP,Tanisha Mosley,Imperial College London,8,320,text01,BIO,SHORT
