outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,p_fdr
q01,HI_minus_LI,0.006625,-0.005625,0.019625,0.309545,400,0.3882375
q01,HP_minus_LP,0.025375,0.012250000000000004,0.039003124999999736,0.00012,400,0.00015272727272727272
q01,BF_minus_WM,-0.0016250000000000004,-0.011874999999999995,0.008499999999999999,0.749255,400,0.79628
q02,HI_minus_LI,0.036625,0.019875000000000004,0.054125,3e-05,400,8.400000000000001e-05
q02,HP_minus_LP,0.07737499999999999,0.056624999999999995,0.09925,0.0,400,0.0
q02,BF_minus_WM,0.002124999999999997,-0.01075,0.015124999999999998,0.76527,400,0.79628
q03,HI_minus_LI,0.010875,-0.018750000000000003,0.041374999999999995,0.49144,400,0.49144
q03,HP_minus_LP,-0.009874999999999995,-0.035125,0.014000000000000004,0.441205,400,0.441205
q03,BF_minus_WM,-0.019375,-0.044000000000000004,0.006125,0.12867,400,0.2251725
q04,HI_minus_LI,0.0155,0.004000000000000002,0.027750000000000004,0.0086,400,0.0172
q04,HP_minus_LP,0.028999999999999998,0.016625,0.04275,0.0,400,0.0
q04,BF_minus_WM,0.01275,0.0052499999999999995,0.020874999999999998,0.001095,400,0.00511
q05,HI_minus_LI,0.005000000000000002,-0.006249999999999997,0.01675,0.39068,400,0.4207323076923077
q05,HP_minus_LP,0.01575,0.004496875000000004,0.027625,0.00647,400,0.007548333333333333
q05,BF_minus_WM,0.005,-0.0038749999999999974,0.014000000000000004,0.279675,400,0.402661
q06,HI_minus_LI,-0.013375,-0.0265,-0.000500000000000001,0.04794,400,0.08389500000000001
q06,HP_minus_LP,0.007875000000000002,-0.004,0.020125,0.19416,400,0.2090953846153846
q06,BF_minus_WM,-0.005874999999999999,-0.016624999999999997,0.004375000000000003,0.287615,400,0.402661
q07,HI_minus_LI,0.008000000000000002,-0.008253124999999997,0.024624999999999998,0.332775,400,0.3882375
q07,HP_minus_LP,0.0555,0.035375000000000004,0.0765,0.0,400,0.0
q07,BF_minus_WM,0.001999999999999996,-0.01275,0.015874999999999997,0.79628,400,0.79628
q08,HI_minus_LI,0.11987500000000001,0.09537500000000002,0.145125,0.0,400,0.0
q08,HP_minus_LP,0.14287499999999997,0.11987500000000001,0.166875,0.0,400,0.0
q08,BF_minus_WM,0.013125,0.0009999999999999983,0.025625,0.03802,400,0.106456
q09,HI_minus_LI,-0.20074999999999998,-0.270125,-0.134875,0.0,400,0.0
q09,HP_minus_LP,-0.2075,-0.2695,-0.14800000000000002,0.0,400,0.0
q09,BF_minus_WM,-0.014750000000000001,-0.045500000000000006,0.016749999999999998,0.35637,400,0.4535618181818182
q10,HI_minus_LI,-0.0275,-0.07212500000000001,0.014999999999999996,0.21864,400,0.30609600000000003
q10,HP_minus_LP,0.17800000000000002,0.12862500000000002,0.22600312499999972,0.0,400,0.0
q10,BF_minus_WM,0.05925,0.030625,0.088125,5.5e-05,400,0.0007700000000000001
q11,HI_minus_LI,0.048375,0.018375,0.07575,0.000255,400,0.000595
q11,HP_minus_LP,0.11637499999999999,0.091,0.14287499999999997,0.0,400,0.0
q11,BF_minus_WM,0.014124999999999997,-0.003624999999999997,0.031375,0.11784,400,0.2251725
q12,HI_minus_LI,0.06275,0.0395,0.086625,0.0,400,0.0
q12,HP_minus_LP,0.16524999999999998,0.137625,0.19399999999999998,0.0,400,0.0
q12,BF_minus_WM,0.025500000000000002,0.010625000000000002,0.040875,0.000745,400,0.00511
q13,HI_minus_LI,0.047125,0.026374999999999996,0.06824999999999999,5e-06,400,1.7500000000000002e-05
q13,HP_minus_LP,0.095625,0.07175,0.120125,0.0,400,0.0
q13,BF_minus_WM,0.018374999999999996,0.0027500000000000003,0.03425,0.022925,400,0.0802375
q14,HI_minus_LI,0.013375,-0.0013750000000000043,0.028499999999999998,0.08318,400,0.12939111111111112
q14,HP_minus_LP,0.057625,0.042374999999999996,0.0735,0.0,400,0.0
q14,BF_minus_WM,0.009625000000000002,-0.0018749999999999978,0.021625000000000002,0.108715,400,0.2251725
