outcome,effect,k,mu,se,ci_lo,ci_hi,tau2,Q,I2
q01,HI_minus_LI,5,0.0015192084660023654,0.008751158335920948,-0.015633061872402692,0.018671478804407424,0.0002414846814110783,14.752514023690692,0.7288597730816252
q01,HP_minus_LP,5,0.017324090790073784,0.0059821457047792665,0.005599085208706422,0.029049096371441145,4.246507864209995e-05,5.247399925996884,0.23771771612393489
q01,BF_minus_WM,5,-0.00011384357515714947,0.0016921664976363368,-0.0034304899105243696,0.0032028027602100705,0.0,0.24154496062924888,0.0
q02,HI_minus_LI,5,0.03573682533681882,0.01998845669582801,-0.003440549787004081,0.07491420046064173,0.0016418711334003702,25.266308553893037,0.8416864105230093
q02,HP_minus_LP,5,0.06912049492251637,0.022585525204633403,0.024852865521434904,0.11338812432359785,0.0020584006287995837,30.173697478239315,0.8674342114391277
q02,BF_minus_WM,5,0.0008110148272176403,0.009746752112264855,-0.018292619312821473,0.019914648967256754,0.00031496785888929956,13.990739355365363,0.7140965964414151
q03,HI_minus_LI,5,0.00023021287772453702,0.009125397631863824,-0.01765556648072856,0.01811599223617763,0.00011919598410741443,5.904849188637564,0.3225906585900584
q03,HP_minus_LP,5,-0.016411997668843003,0.010829375404317018,-0.037637573461304356,0.004813578123618351,0.0002542061279422807,8.009502198191788,0.5005931828193975
q03,BF_minus_WM,5,-0.014086034967887491,0.008139592322626864,-0.030039635920236146,0.0018675659844611617,0.00011298271435215081,6.182436994729868,0.3530059419271488
q04,HI_minus_LI,4,0.014253508583723956,0.01101784405223722,-0.007341465758660997,0.03584848292610891,0.0003059547167072948,9.192343012135664,0.6736414213395407
q04,HP_minus_LP,4,0.021510484623490034,0.010384989234978837,0.001155905722931512,0.041865063524048556,0.00029446085044963126,14.414360092914157,0.7918742156667262
q04,BF_minus_WM,4,0.011417249361000876,0.0036137243427783457,0.004334349649155318,0.018500149072846434,0.0,2.102755925466285,0.0
q05,HI_minus_LI,4,0.0008968060512126426,0.006806494703013333,-0.01244392356669349,0.014237535669118777,6.7053128819187e-05,4.6720437974821785,0.3578827318321081
q05,HP_minus_LP,4,0.014380800619544425,0.007369432326067476,-6.328673954782843e-05,0.02882488797863668,4.338111154616928e-05,3.711554671550595,0.1917133747226537
q05,BF_minus_WM,4,0.005047665246994949,0.008492072395963843,-0.011596796649094184,0.02169212714308408,0.00018689162409055694,10.26288012381855,0.7076843962117938
q06,HI_minus_LI,5,-0.006545505049614339,0.0053427485697519535,-0.01701729224632817,0.00392628214709949,5.4774018825511063e-05,6.740125885971984,0.40653927424040004
q06,HP_minus_LP,5,0.004284982701372988,0.004351472407504001,-0.004243903217334854,0.01281386862008083,2.843277187749229e-05,5.341066211695666,0.25108586161299584
q06,BF_minus_WM,5,3.751113041232111e-05,0.0013470337083681136,-0.0026026749379891813,0.0026776971988138236,0.0,3.7690596850756686,0.0
q07,HI_minus_LI,5,0.0056382170219791425,0.010569264856058549,-0.015077542095895614,0.026353976139853897,0.00029533064459658456,9.367788584446005,0.5730048811475656
q07,HP_minus_LP,5,0.03942053146498374,0.014666749258880528,0.010673702917577906,0.06816736001238957,0.0007277748305855405,18.207947071290018,0.780315705865208
q07,BF_minus_WM,5,0.0006554139518759241,0.005612491271183214,-0.010345068939643175,0.011655896843395023,3.115988026285067e-05,4.8846102581597775,0.1811015027620739
