text_id,outcome,effect,value
text01-BIO-SHORT-2505.02276v1,QI,BF_minus_WM,0.06
text02-BIO-SHORT-2507.04575v1,QI,BF_minus_WM,0.0028571428571428693
text03-BIO-SHORT-2505.11568v3,QI,BF_minus_WM,-0.012857142857142855
text04-BIO-SHORT-2507.08385v1,QI,BF_minus_WM,-0.03428571428571432
text05-BIO-SHORT-2504.10973v1,QI,BF_minus_WM,0.03714285714285713
text06-BIO-SHORT-2506.14789v1,QI,BF_minus_WM,-0.0014285714285714012
text07-BIO-SHORT-2506.13576v3,QI,BF_minus_WM,-0.0014285714285714236
text08-BIO-SHORT-2503.19923v2,QI,BF_minus_WM,0.021428571428571398
text09-BIO-SHORT-2602.00019v1,QI,BF_minus_WM,0.007142857142857129
text10-BIO-SHORT-2506.13817v1,QI,BF_minus_WM,0.0071428571428571175
text11-CS-SHORT-2506.09194v1,QI,BF_minus_WM,0.01571428571428568
text12-CS-SHORT-2512.19717v1,QI,BF_minus_WM,-0.004285714285714293
text13-CS-SHORT-2510.04124v5,QI,BF_minus_WM,0.0328571428571429
text14-CS-SHORT-2509.13349v2,QI,BF_minus_WM,0.0357142857142857
text15-CS-SHORT-2602.03870v1,QI,BF_minus_WM,-0.008571428571428563
text16-CS-SHORT-2509.06033v1,QI,BF_minus_WM,0.0385714285714285
text17-CS-SHORT-2509.16294v1,QI,BF_minus_WM,-0.03571428571428572
text18-CS-SHORT-2507.09492v1,QI,BF_minus_WM,0.0157142857142857
text19-CS-SHORT-2509.14600v1,QI,BF_minus_WM,0.025714285714285766
text20-CS-SHORT-2503.14899v1,QI,BF_minus_WM,0.007142857142857173
text21-PHY-SHORT-2601.23079v1,QI,BF_minus_WM,-0.011428571428571389
text22-PHY-SHORT-2601.23047v1,QI,BF_minus_WM,0.0357142857142857
text23-PHY-SHORT-2601.23057v1,QI,BF_minus_WM,-0.025714285714285724
text24-PHY-SHORT-2509.16741v1,QI,BF_minus_WM,-0.057142857142857176
text25-PHY-SHORT-2507.08042v1,QI,BF_minus_WM,0.03142857142857143
text26-PHY-SHORT-2512.23538v1,QI,BF_minus_WM,0.007142857142857095
text27-PHY-SHORT-2510.18500v1,QI,BF_minus_WM,0.027142857142857114
text28-PHY-SHORT-2508.20431v1,QI,BF_minus_WM,-4.4408920985006264e-17
text29-PHY-SHORT-2509.06825v1,QI,BF_minus_WM,-0.01428571428571428
text30-PHY-SHORT-2509.17653v2,QI,BF_minus_WM,0.004285714285714293
text31-MATH-SHORT-2511.03536v1,QI,BF_minus_WM,-0.05714285714285712
text32-MATH-SHORT-2603.02088v1,QI,BF_minus_WM,0.0328571428571429
text33-MATH-SHORT-2512.22134v3,QI,BF_minus_WM,-0.048571428571428585
text34-MATH-SHORT-2509.00532v1,QI,BF_minus_WM,-0.07428571428571432
text35-MATH-SHORT-2512.06844v1,QI,BF_minus_WM,0.011428571428571432
text36-MATH-SHORT-2503.09380v2,QI,BF_minus_WM,-0.011428571428571432
text37-MATH-SHORT-2510.26426v1,QI,BF_minus_WM,0.034285714285714274
