score,condition,mean,ci_lo,ci_hi,p,n_texts
QI,BF_HI_HP,0.03664285714285716,0.017714285714285734,0.055785714285714307,0.00021,80
QI,BF_HI_LP,0.014071428571428629,-0.0054285714285713296,0.03278571428571434,0.15751,80
QI,BF_LI_HP,0.0370714285714286,0.01764285714285714,0.05814285714285713,0.000305,80
QI,BF_LI_LP,0.0037857142857143284,-0.014714285714285666,0.02293035714285707,0.69694,80
QI,NONE,0.0,0.0,0.0,,80
QI,WM_HI_HP,0.0366428571428572,0.016714285714285793,0.05750000000000001,0.00054,80
QI,WM_HI_LP,0.00814285714285716,-0.011071428571428588,0.027571428571428615,0.41503,80
QI,WM_LI_HP,0.03464285714285716,0.013357142857142906,0.05614285714285716,0.00171,80
QI,WM_LI_LP,-0.007142857142857168,-0.027285714285714302,0.014071428571428549,0.50533,80
PI,BF_HI_HP,0.14250000000000002,0.11325000000000005,0.17275000000000004,0.0,80
PI,BF_HI_LP,0.0017500000000000085,-0.02975,0.03308333333333331,0.91318,80
PI,BF_LI_HP,0.08591666666666667,0.05816458333333331,0.1148354166666665,0.0,80
PI,BF_LI_LP,-0.08166666666666665,-0.11358333333333333,-0.050164583333333485,0.0,80
PI,NONE,0.0,0.0,0.0,,80
PI,WM_HI_HP,0.11908333333333329,0.08866666666666667,0.14916666666666664,0.0,80
PI,WM_HI_LP,-0.012750000000000011,-0.0465,0.020999999999999984,0.460195,80
PI,WM_LI_HP,0.054500000000000014,0.02325,0.08591666666666666,0.00097,80
PI,WM_LI_LP,-0.10908333333333331,-0.14199999999999996,-0.07599999999999998,0.0,80
AR,BF_HI_HP,0.06449999999999999,0.031000000000000017,0.09899999999999995,0.000275,80
AR,BF_HI_LP,0.015999999999999993,-0.01499999999999999,0.0465,0.318065,80
AR,BF_LI_HP,0.0505,0.021499999999999988,0.08049999999999996,0.00139,80
AR,BF_LI_LP,0.0035000000000000113,-0.026999999999999958,0.034499999999999975,0.81616,80
AR,NONE,0.0,0.0,0.0,,80
AR,WM_HI_HP,0.05850000000000003,0.026000000000000058,0.0915,0.000595,80
AR,WM_HI_LP,0.0030000000000000053,-0.03050000000000001,0.03650000000000001,0.85819,80
AR,WM_LI_HP,0.05700000000000001,0.02450000000000005,0.09,0.00096,80
AR,WM_LI_LP,-0.02250000000000001,-0.05201250000000003,0.007999999999999955,0.1437,80
