text_id,condition_id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,QI,PI,AR,model,temperature,group,tier,name,institution,clean_textID,clean_domain,clean_len
text01-BIO-SHORT-2505.02276v1,BF_HI,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.0,-2.0,1.0,1.0,-1.5,1.0,gemma,0.01,BF,HI,tanisha.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI,2.0,2.0,-2.0,3.0,3.0,2.0,1.0,1.0,-1.0,0.0,2.0,1.0,1.0,2.0,2.142857142857143,1.0,2.0,gpt,0.01,BF,HI,tanisha.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,BF,HI,tanisha.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,BF,HI,tanisha.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_HI,2.0,1.0,-1.0,3.0,2.0,1.0,1.8,1.0,-0.2,-0.6,1.2,2.0,1.0,2.0,1.6857142857142857,0.8,2.0,qwen,0.01,BF,HI,tanisha.mosley,imperial.ac.uk,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI,2.0,1.0,-2.0,2.0,1.0,0.0,-1.0,-1.0,2.0,-3.0,0.0,-1.0,-2.0,1.0,1.0,-1.5,1.0,gemma,0.01,BF,LI,tanisha.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI,2.0,2.0,-2.0,3.0,3.0,2.0,0.6,1.0,-1.4,0.0,2.0,1.0,1.0,2.0,2.085714285714286,1.0666666666666669,2.0,gpt,0.01,BF,LI,tanisha.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,2.0,llama,0.01,BF,LI,tanisha.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI,3.0,2.0,-3.0,3.0,3.0,3.0,2.0,3.0,-3.0,2.0,3.0,3.0,3.0,3.0,2.7142857142857144,2.8333333333333335,3.0,olmo,0.01,BF,LI,tanisha.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,BF_LI,2.0,1.2,-1.2,2.0,2.0,1.0,2.0,1.0,0.2,-0.8,0.2,0.4,-0.4,1.2,1.6285714285714286,0.03333333333333333,1.2,qwen,0.01,BF,LI,tanisha.mosley,uwm.edu,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,1.0,-2.0,2.0,1.0,0.8,-0.2,-0.2,2.0,-3.0,0.8,-0.2,-0.4,1.0,1.2285714285714286,-0.8333333333333333,1.0,gemma,0.01,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,2.0,-2.0,3.0,3.0,2.0,0.8,1.0,-1.2,0.0,2.0,1.0,1.0,2.0,2.1142857142857143,1.0333333333333334,2.0,gpt,0.01,NONE,NONE,NONE,NONE,text01,BIO,SHORT
text01-BIO-SHORT-2505.02276v1,NONE,2.0,1.0,-3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.2,0.2,1.0,2.0,2.0,0.06666666666666667,2.0,llama,0.01,NONE,NONE,NONE,NONE,text01,BIO,SHORT
