outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,p_fdr
q01,HI_minus_LI,0.009000000000000001,-0.004249999999999998,0.022750000000000003,0.19902,400,0.278628
q01,BF_minus_WM,-0.008,-0.01975,0.0032499999999999985,0.176495,400,0.6775766666666666
q02,HI_minus_LI,0.0165,-0.0007499999999999996,0.034499999999999996,0.071245,400,0.12467875
q02,BF_minus_WM,-0.0055000000000000005,-0.021000000000000005,0.010750000000000003,0.511655,400,0.7892430000000001
q03,HI_minus_LI,-0.006000000000000001,-0.044000000000000004,0.032,0.757785,400,0.757785
q03,BF_minus_WM,-0.017,-0.04425,0.011000000000000001,0.23358,400,0.6775766666666666
q04,HI_minus_LI,0.009749999999999998,0.0007499999999999996,0.02,0.052545,400,0.11278
q04,BF_minus_WM,0.004749999999999999,-0.003750000000000003,0.014499999999999999,0.34589,400,0.69178
q05,HI_minus_LI,0.0077499999999999965,-0.004500000000000001,0.020499999999999997,0.24513,400,0.285985
q05,BF_minus_WM,0.0022499999999999985,-0.010249999999999999,0.014999999999999998,0.748105,400,0.792835
q06,HI_minus_LI,-0.01075,-0.02574999999999999,0.0030000000000000022,0.145465,400,0.22627888888888892
q06,BF_minus_WM,-0.0077499999999999965,-0.02175,0.006000000000000003,0.29039,400,0.6775766666666666
q07,HI_minus_LI,0.013999999999999999,-0.008499999999999999,0.036500000000000005,0.23362,400,0.285985
q07,BF_minus_WM,-0.003499999999999997,-0.025249999999999998,0.018999999999999996,0.770415,400,0.792835
q08,HI_minus_LI,0.09175000000000001,0.0625,0.1215,0.0,400,0.0
q08,BF_minus_WM,0.007250000000000003,-0.009999999999999998,0.02475624999999946,0.41166,400,0.7204050000000001
q09,HI_minus_LI,-0.149,-0.22475,-0.079,3.5e-05,400,0.00016333333333333334
q09,BF_minus_WM,0.009499999999999995,-0.0355,0.05425000000000001,0.690735,400,0.792835
q10,HI_minus_LI,0.029750000000000002,-0.025750000000000002,0.08525,0.291175,400,0.31357307692307695
q10,BF_minus_WM,0.04724999999999999,0.011000000000000001,0.08324999999999999,0.01141,400,0.15974
q11,HI_minus_LI,0.03475,-0.0022499999999999977,0.06949999999999999,0.05639,400,0.11278
q11,BF_minus_WM,0.00275,-0.01725,0.02275,0.792835,400,0.792835
q12,HI_minus_LI,0.043250000000000004,0.01,0.07725,0.01047,400,0.036645
q12,BF_minus_WM,0.014249999999999999,-0.005000000000000004,0.03425,0.16933,400,0.6775766666666666
q13,HI_minus_LI,0.05875,0.034249999999999996,0.08399999999999999,0.0,400,0.0
q13,BF_minus_WM,0.01225,-0.008749999999999996,0.033499999999999995,0.258445,400,0.6775766666666666
q14,HI_minus_LI,0.017750000000000002,0.0010000000000000041,0.035,0.04006,400,0.112168
q14,BF_minus_WM,-0.004749999999999997,-0.020249999999999994,0.010500000000000002,0.563745,400,0.7892430000000001
