outcome,effect,k,mu,se,ci_lo,ci_hi,tau2,Q,I2
q01,HI_minus_LI,3,0.016060400806266067,0.015140251714830466,-0.013614492554801644,0.04573529416733378,0.00030841869643124506,3.6271919718611576,0.4486092780543471
q01,BF_minus_WM,3,-0.01359857515814272,0.00858291914781707,-0.030421096687864177,0.0032239463715787384,0.0,0.1666977239547332,0.0
q02,HI_minus_LI,5,0.016884215778077482,0.008837246558954709,-0.00043678747747374555,0.034205219033628706,8.427201501219686e-05,5.096123798058702,0.21508971161105925
q02,BF_minus_WM,5,-0.010485715200268211,0.007209695064901025,-0.02461671752747422,0.0036452871269377976,9.446614733031583e-05,6.4481732156531635,0.37966926969488635
q03,HI_minus_LI,4,0.01071839262702298,0.011146378947002326,-0.011128510109101578,0.03256529536314754,0.0,2.6789431263806742,0.0
q03,BF_minus_WM,4,0.0031580996920803515,0.0035101892845575957,-0.003721871305652536,0.01003807068981324,0.0,2.8090900820915317,0.0
q04,HI_minus_LI,4,0.008839685069264356,0.005586878892745472,-0.002110597560516769,0.01978996769904548,1.3329929170407733e-05,3.339470279867363,0.10165393053920099
q04,BF_minus_WM,4,0.0011819086038896665,0.0045809989494248115,-0.007796849336982964,0.010160666544762297,0.0,1.997424491969345,0.0
q05,HI_minus_LI,4,0.00638118285144197,0.004808562341762148,-0.0030435993384118395,0.015805965041295778,0.0,0.3711744360740825,0.0
q05,BF_minus_WM,4,-5.790489179300575e-06,0.009824860122829392,-0.019262516329924907,0.019250935351566308,0.00015559816918239984,5.054323492398621,0.4064487553058667
q06,HI_minus_LI,4,-0.0059435291388501435,0.007314330295991405,-0.020279616518993297,0.008392558241293011,6.568822696582034e-05,4.17064793464286,0.28068730638207284
q06,BF_minus_WM,4,-0.010853761763898628,0.006801589396217444,-0.02418487698048482,0.002477353452687561,0.0,0.4871239402662071,0.0
q07,HI_minus_LI,5,0.00965795331288612,0.013873739467691352,-0.01753457604378893,0.036850482669561174,0.000572153319187508,12.593786034721322,0.6823830427980975
q07,BF_minus_WM,5,-0.004237358295260535,0.008254683464883015,-0.020416537886431243,0.011941821295910173,0.0,1.2123330920613793,0.0
q08,HI_minus_LI,5,0.08637397530582239,0.030015038780149213,0.027544499296729932,0.14520345131491486,0.0034996324883973065,22.42512383639578,0.8216286327254062
q08,BF_minus_WM,5,0.004728257728719504,0.010377211137511997,-0.015611076100804009,0.025067591558243018,0.00028423333215437307,10.393179192949631,0.6151322010580305
q09,HI_minus_LI,5,-0.08453026593050371,0.04646495075116133,-0.17560156940277993,0.006541037541772501,0.007022249011284391,16.49848831597552,0.7575535453071303
q09,BF_minus_WM,5,-0.01001895152098011,0.015554262989539809,-0.040505306980478134,0.020467403938517918,0.0,3.5835392426690182,0.0
q10,HI_minus_LI,5,0.044702911494007465,0.046885473470592555,-0.04719261650835394,0.13659843949636888,0.00757855288312429,14.360030188270775,0.7214490535495401
q10,BF_minus_WM,5,0.03852045660630332,0.018355708488663275,0.002543267968523305,0.07449764524408334,0.0003675762178947339,5.10862353725354,0.21701022382431215
q11,HI_minus_LI,5,0.01806349464533789,0.01185934628171839,-0.005180824066830153,0.04130781335750593,0.0002576824655228252,6.460474444738805,0.3808504260461139
q11,BF_minus_WM,5,-0.0010892193054464127,0.0012406216894847895,-0.0035208378168366003,0.0013423992059437748,0.0,2.4048757010599773,0.0
q12,HI_minus_LI,4,0.058239658938054176,0.028698494398110914,0.0019906099177567846,0.11448870795835156,0.0016619693002298277,6.12072483618398,0.5098619721858993
q12,BF_minus_WM,4,0.011403730891522391,0.010621267310244065,-0.009413953036555976,0.03222141481960076,0.0,1.5660908417556794,0.0
q13,HI_minus_LI,5,0.050070120778427124,0.015070112558433739,0.020532700163896998,0.07960754139295725,0.0005415607038813918,8.271282202366063,0.5163990416315659
q13,BF_minus_WM,5,0.010720363697214517,0.008243248186264639,-0.005436402747864175,0.02687713014229321,0.0,1.7086470425682108,0.0
q14,HI_minus_LI,4,0.021807215592739883,0.010587804992369745,0.0010551178076951828,0.04255931337778458,0.0,2.2079618806870593,0.0
q14,BF_minus_WM,4,-0.002344672736582602,0.008043337372302402,-0.01810961398629531,0.013420268513130103,8.044969852505376e-05,3.919357756988716,0.23456847116071083
