outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,model,se_model
QI,HI_minus_LI,0.007499999999999991,-0.004642857142857143,0.019821428571428556,0.247635,80,gemma,0.006255842012631548
QI,BF_minus_WM,0.003571428571428582,-0.011071428571428574,0.019821428571428587,0.65696,80,gemma,0.007925072130708406
PI,HI_minus_LI,0.06604166666666667,0.02729166666666667,0.108125,0.00096,80,gemma,0.020657366029405957
PI,BF_minus_WM,0.006458333333333332,-0.024374999999999994,0.04041666666666666,0.720385,80,gemma,0.016720624024140984
AR,HI_minus_LI,0.0225,-0.013750000000000002,0.058750000000000004,0.257125,80,gemma,0.018655351829937012
AR,BF_minus_WM,0.0024999999999999996,-0.03874999999999999,0.045,0.92542,80,gemma,0.0213451888866694
QI,HI_minus_LI,0.005357142857142845,-0.008750000000000003,0.019107142857142836,0.467185,80,gpt,0.00705357858172549
QI,BF_minus_WM,-0.005357142857142859,-0.019821428571428566,0.009821428571428564,0.491585,80,gpt,0.007583067072483363
PI,HI_minus_LI,0.07500000000000002,0.041666666666666706,0.11125000000000003,2.5e-05,80,gpt,0.017973550656638523
PI,BF_minus_WM,0.03125,0.00833333333333334,0.05499999999999999,0.00965,80,gpt,0.011927372665681566
AR,HI_minus_LI,0.011249999999999996,-0.03624999999999999,0.061249999999999985,0.6727,80,gpt,0.02477709168066136
AR,BF_minus_WM,-0.04375,-0.09249999999999999,0.0025000000000000066,0.08143,80,gpt,0.02457510768484075
QI,HI_minus_LI,0.0021428571428571365,-0.013571428571428562,0.016428571428571414,0.8195,80,llama,0.00764128949125239
QI,BF_minus_WM,-0.006785714285714291,-0.018035714285714297,0.0017857142857142822,0.21078,80,llama,0.005170653983731476
PI,HI_minus_LI,0.12645833333333334,0.05062500000000001,0.209375,0.00172,80,llama,0.04082988204436403
PI,BF_minus_WM,-0.00020833333333332982,-0.033125,0.027708333333333335,0.998335,80,llama,0.01562542193523133
AR,HI_minus_LI,0.04875,0.0125,0.09624999999999999,0.06178,80,llama,0.022501318526767223
AR,BF_minus_WM,-0.0012500000000000011,-0.011250000000000001,0.005000000000000002,1.0,80,llama,0.004169566501463502
QI,HI_minus_LI,0.007321428571428571,-0.011607142857142861,0.024107142857142872,0.452525,80,olmo,0.00907428565592532
QI,BF_minus_WM,-0.0008928571428571369,-0.01428571428571428,0.01446428571428573,0.929405,80,olmo,0.007449753107586092
PI,HI_minus_LI,0.004999999999999999,-0.018755208333333346,0.02666666666666666,0.684675,80,olmo,0.011644040748416054
PI,BF_minus_WM,0.005833333333333324,-0.012708333333333353,0.024999999999999998,0.58132,80,olmo,0.00987394175283593
AR,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
AR,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
QI,HI_minus_LI,0.014999999999999986,-0.01732142857142859,0.048397321428571054,0.38005,80,qwen,0.016839732634309847
QI,BF_minus_WM,0.00892857142857138,-0.019821428571428646,0.03874999999999994,0.571765,80,qwen,0.015250798794144125
PI,HI_minus_LI,0.06687499999999998,-0.0054218750000000196,0.14208333333333334,0.07823,80,qwen,0.03741433458333374
PI,BF_minus_WM,0.018541666666666658,-0.04104166666666668,0.07937499999999999,0.55436,80,qwen,0.030983914645702076
AR,HI_minus_LI,0.006250000000000004,-0.03250000000000001,0.04500000000000001,0.744255,80,qwen,0.020231551214797198
AR,BF_minus_WM,0.01875,-0.02000000000000001,0.061250000000000006,0.388625,80,qwen,0.02105551357480349
