text_id,outcome,effect,value
text01-BIO-SHORT-2505.02276v1,QI,BF_minus_WM,0.05714285714285714
text02-BIO-SHORT-2507.04575v1,QI,BF_minus_WM,0.002857142857142847
text03-BIO-SHORT-2505.11568v3,QI,BF_minus_WM,-0.014285714285714369
text04-BIO-SHORT-2507.08385v1,QI,BF_minus_WM,-0.04857142857142867
text05-BIO-SHORT-2504.10973v1,QI,BF_minus_WM,0.01714285714285717
text06-BIO-SHORT-2506.14789v1,QI,BF_minus_WM,-0.011428571428571432
text07-BIO-SHORT-2506.13576v3,QI,BF_minus_WM,-0.020000000000000018
text08-BIO-SHORT-2503.19923v2,QI,BF_minus_WM,-0.019999999999999997
text09-BIO-SHORT-2602.00019v1,QI,BF_minus_WM,0.1
text10-BIO-SHORT-2506.13817v1,QI,BF_minus_WM,0.02857142857142856
text11-CS-SHORT-2506.09194v1,QI,BF_minus_WM,-0.06857142857142853
text12-CS-SHORT-2512.19717v1,QI,BF_minus_WM,0.05142857142857147
text13-CS-SHORT-2510.04124v5,QI,BF_minus_WM,-0.0028571428571427583
text14-CS-SHORT-2509.13349v2,QI,BF_minus_WM,0.06857142857142859
text15-CS-SHORT-2602.03870v1,QI,BF_minus_WM,-0.0028571428571428914
text16-CS-SHORT-2509.06033v1,QI,BF_minus_WM,0.014285714285714323
text17-CS-SHORT-2509.16294v1,QI,BF_minus_WM,0.00857142857142854
text18-CS-SHORT-2507.09492v1,QI,BF_minus_WM,-0.02857142857142856
text19-CS-SHORT-2509.14600v1,QI,BF_minus_WM,-0.02857142857142858
text20-CS-SHORT-2503.14899v1,QI,BF_minus_WM,-0.02857142857142856
text21-PHY-SHORT-2601.23079v1,QI,BF_minus_WM,-0.02857142857142856
text22-PHY-SHORT-2601.23047v1,QI,BF_minus_WM,0.034285714285714385
text23-PHY-SHORT-2601.23057v1,QI,BF_minus_WM,-0.06000000000000005
text24-PHY-SHORT-2509.16741v1,QI,BF_minus_WM,0.017142857142857126
text25-PHY-SHORT-2507.08042v1,QI,BF_minus_WM,0.08285714285714285
text26-PHY-SHORT-2512.23538v1,QI,BF_minus_WM,-0.037142857142857186
text27-PHY-SHORT-2510.18500v1,QI,BF_minus_WM,-0.022857142857142864
text28-PHY-SHORT-2508.20431v1,QI,BF_minus_WM,0.0028571428571428914
text29-PHY-SHORT-2509.06825v1,QI,BF_minus_WM,-0.008571428571428586
text30-PHY-SHORT-2509.17653v2,QI,BF_minus_WM,-0.017142857142857036
text31-MATH-SHORT-2511.03536v1,QI,BF_minus_WM,-0.03714285714285712
text32-MATH-SHORT-2603.02088v1,QI,BF_minus_WM,-0.022857142857142843
text33-MATH-SHORT-2512.22134v3,QI,BF_minus_WM,0.02857142857142856
text34-MATH-SHORT-2509.00532v1,QI,BF_minus_WM,0.0028571428571428025
text35-MATH-SHORT-2512.06844v1,QI,BF_minus_WM,-0.005714285714285694
text36-MATH-SHORT-2503.09380v2,QI,BF_minus_WM,-0.025714285714285755
text37-MATH-SHORT-2510.26426v1,QI,BF_minus_WM,0.0314285714285714
text38-MATH-SHORT-2512.04101v1,QI,BF_minus_WM,0.002857142857142847
text39-MATH-SHORT-2506.11609v2,QI,BF_minus_WM,-0.008571428571428629
text40-MATH-SHORT-2507.15879v2,QI,BF_minus_WM,-0.01714285714285717
text41-BIO-LONG-2512.06709v1,QI,BF_minus_WM,-0.037142857142857186
text42-BIO-LONG-2503.07104v1,QI,BF_minus_WM,-0.005714285714285739
text43-BIO-LONG-2506.16577v1,QI,BF_minus_WM,0.07714285714285722
text44-BIO-LONG-2505.20052v1,QI,BF_minus_WM,0.12857142857142864
text45-BIO-LONG-2507.17897v4,QI,BF_minus_WM,0.014285714285714235
text46-BIO-LONG-2505.05863v1,QI,BF_minus_WM,0.03428571428571425
text47-BIO-LONG-2505.21094v1,QI,BF_minus_WM,-0.002857142857142847
text48-BIO-LONG-2602.16750v1,QI,BF_minus_WM,0.0
text49-BIO-LONG-2511.10014v1,QI,BF_minus_WM,4.4408920985006264e-17
text50-BIO-LONG-2603.01054v1,QI,BF_minus_WM,-0.028571428571428647
text51-CS-LONG-2602.11588v1,QI,BF_minus_WM,-0.03714285714285712
text52-CS-LONG-2602.15675v1,QI,BF_minus_WM,0.002857142857142847
text53-CS-LONG-2603.02012v1,QI,BF_minus_WM,-0.028571428571428602
text54-CS-LONG-2602.23006v1,QI,BF_minus_WM,0.019999999999999973
text55-CS-LONG-2602.21625v1,QI,BF_minus_WM,0.022857142857142864
text56-CS-LONG-2602.13713v1,QI,BF_minus_WM,-0.014285714285714323
text57-CS-LONG-2603.00079v1,QI,BF_minus_WM,-0.017142857142857217
text58-CS-LONG-2603.01023v1,QI,BF_minus_WM,-0.005714285714285739
text59-CS-LONG-2602.19401v1,QI,BF_minus_WM,0.017142857142857036
text60-CS-LONG-2602.18518v1,QI,BF_minus_WM,-0.005714285714285694
text61-PHY-LONG-2602.03885v1,QI,BF_minus_WM,-0.011428571428571477
text62-PHY-LONG-2511.21971v1,QI,BF_minus_WM,0.03142857142857136
text63-PHY-LONG-2512.18015v1,QI,BF_minus_WM,0.00857142857142854
text64-PHY-LONG-2602.23683v1,QI,BF_minus_WM,-0.019999999999999973
text65-PHY-LONG-2601.13267v1,QI,BF_minus_WM,-0.037142857142857144
text66-PHY-LONG-2512.24566v1,QI,BF_minus_WM,0.025714285714285624
text67-PHY-LONG-2602.07636v2,QI,BF_minus_WM,-0.08285714285714296
text68-PHY-LONG-2512.18130v1,QI,BF_minus_WM,0.03142857142857145
text69-PHY-LONG-2602.17389v1,QI,BF_minus_WM,-0.05142857142857147
text70-PHY-LONG-2602.08188v1,QI,BF_minus_WM,-0.034285714285714294
text71-MATH-LONG-2511.12781v1,QI,BF_minus_WM,-0.019999999999999973
text72-MATH-LONG-2602.06095v1,QI,BF_minus_WM,0.011428571428571432
text73-MATH-LONG-2511.18101v1,QI,BF_minus_WM,0.02285714285714291
text74-MATH-LONG-2512.15978v1,QI,BF_minus_WM,0.0028571428571428025
text75-MATH-LONG-2511.22140v1,QI,BF_minus_WM,0.005714285714285694
text76-MATH-LONG-2602.20441v1,QI,BF_minus_WM,0.0371428571428571
text77-MATH-LONG-2601.20851v2,QI,BF_minus_WM,-0.04571428571428564
text78-MATH-LONG-2512.17595v1,QI,BF_minus_WM,-0.028571428571428515
text79-MATH-LONG-2512.10129v1,QI,BF_minus_WM,-0.037142857142857144
text80-MATH-LONG-2512.10507v1,QI,BF_minus_WM,0.06285714285714286
text01-BIO-SHORT-2505.02276v1,QI,HI_minus_LI,-2.2204460492503132e-17
text02-BIO-SHORT-2507.04575v1,QI,HI_minus_LI,0.002857142857142847
text03-BIO-SHORT-2505.11568v3,QI,HI_minus_LI,0.08285714285714288
text04-BIO-SHORT-2507.08385v1,QI,HI_minus_LI,-0.014285714285714235
text05-BIO-SHORT-2504.10973v1,QI,HI_minus_LI,0.05714285714285712
text06-BIO-SHORT-2506.14789v1,QI,HI_minus_LI,-0.02285714285714291
text07-BIO-SHORT-2506.13576v3,QI,HI_minus_LI,0.03714285714285701
text08-BIO-SHORT-2503.19923v2,QI,HI_minus_LI,0.019999999999999997
text09-BIO-SHORT-2602.00019v1,QI,HI_minus_LI,0.05428571428571427
text10-BIO-SHORT-2506.13817v1,QI,HI_minus_LI,0.011428571428571477
text11-CS-SHORT-2506.09194v1,QI,HI_minus_LI,-0.005714285714285805
text12-CS-SHORT-2512.19717v1,QI,HI_minus_LI,0.028571428571428602
text13-CS-SHORT-2510.04124v5,QI,HI_minus_LI,-0.0028571428571429356
text14-CS-SHORT-2509.13349v2,QI,HI_minus_LI,0.08571428571428567
text15-CS-SHORT-2602.03870v1,QI,HI_minus_LI,0.020000000000000063
text16-CS-SHORT-2509.06033v1,QI,HI_minus_LI,0.008571428571428629
text17-CS-SHORT-2509.16294v1,QI,HI_minus_LI,0.020000000000000018
text18-CS-SHORT-2507.09492v1,QI,HI_minus_LI,0.02857142857142856
text19-CS-SHORT-2509.14600v1,QI,HI_minus_LI,-0.06285714285714292
text20-CS-SHORT-2503.14899v1,QI,HI_minus_LI,-0.022857142857142864
text21-PHY-SHORT-2601.23079v1,QI,HI_minus_LI,0.03428571428571425
text22-PHY-SHORT-2601.23047v1,QI,HI_minus_LI,-0.039999999999999994
text23-PHY-SHORT-2601.23057v1,QI,HI_minus_LI,-0.04857142857142858
text24-PHY-SHORT-2509.16741v1,QI,HI_minus_LI,0.011428571428571432
text25-PHY-SHORT-2507.08042v1,QI,HI_minus_LI,-0.0028571428571428693
text26-PHY-SHORT-2512.23538v1,QI,HI_minus_LI,-0.037142857142857186
text27-PHY-SHORT-2510.18500v1,QI,HI_minus_LI,0.0
text28-PHY-SHORT-2508.20431v1,QI,HI_minus_LI,0.0657142857142857
text29-PHY-SHORT-2509.06825v1,QI,HI_minus_LI,0.04285714285714284
text30-PHY-SHORT-2509.17653v2,QI,HI_minus_LI,0.034285714285714294
text31-MATH-SHORT-2511.03536v1,QI,HI_minus_LI,-0.07714285714285715
text32-MATH-SHORT-2603.02088v1,QI,HI_minus_LI,0.011428571428571455
text33-MATH-SHORT-2512.22134v3,QI,HI_minus_LI,-0.005714285714285783
text34-MATH-SHORT-2509.00532v1,QI,HI_minus_LI,0.025714285714285755
text35-MATH-SHORT-2512.06844v1,QI,HI_minus_LI,-0.011428571428571389
