score,condition,mean,ci_lo,ci_hi,p,n_texts
QI,BF_HI,0.0005714285714285838,-0.013857142857142813,0.014428571428571426,0.935975,80
QI,BF_LI,-0.0006428571428571464,-0.015499999999999996,0.013000000000000003,0.93101,80
QI,NONE,0.0,0.0,0.0,,80
QI,WM_HI,0.00692857142857142,-0.0074285714285714285,0.019,0.349905,80
QI,WM_LI,-0.006785714285714268,-0.021857142857142818,0.007428571428571461,0.38136,80
PI,BF_HI,0.06891666666666665,0.033999999999999996,0.10383333333333329,0.00034,80
PI,BF_LI,-0.009916666666666688,-0.04125000000000001,0.019499999999999955,0.526615,80
PI,NONE,0.0,0.0,0.0,,80
PI,WM_HI,0.04558333333333333,0.011250000000000012,0.07933333333333334,0.01083,80
PI,WM_LI,-0.01133333333333334,-0.03991666666666668,0.01733541666666651,0.439445,80
AR,BF_HI,0.001000000000000005,-0.029000000000000005,0.028999999999999998,0.94372,80
AR,BF_LI,-0.012999999999999992,-0.04150000000000002,0.014499999999999996,0.38051,80
AR,NONE,0.0,0.0,0.0,,80
AR,WM_HI,0.009500000000000019,-0.025499999999999988,0.041000000000000016,0.58533,80
AR,WM_LI,-0.01199999999999998,-0.04499999999999997,0.02000000000000004,0.49331,80
