outcome,effect,estimate,ci_lo,ci_hi,p,n_texts
AR,BF_minus_WM,0.014374999999999995,-0.002499999999999992,0.031124999999999986,0.09886,80
AR,HI_minus_LI,-0.004374999999999995,-0.025749999999999988,0.01712499999999999,0.695585,80
PI,BF_minus_WM,0.011812500000000004,-0.005938020833333318,0.03006249999999997,0.205905,80
PI,HI_minus_LI,0.007354166666666648,-0.014520833333333349,0.029000520833333265,0.510235,80
QI,BF_minus_WM,0.00492857142857141,-0.004214285714285711,0.01383928571428569,0.28736,80
QI,HI_minus_LI,-0.0006785714285714201,-0.011857589285714275,0.01035714285714286,0.90627,80
q01,BF_minus_WM,0.006375000000000001,-0.008249999999999981,0.021624999999999995,0.402665,80
q01,HI_minus_LI,-0.0023750000000000077,-0.01875,0.013874999999999981,0.77347,80
q02,BF_minus_WM,0.007624999999999998,-0.013000000000000003,0.027249999999999986,0.46676,80
q02,HI_minus_LI,0.020125000000000004,-0.0033781249999999905,0.04425,0.102695,80
q03,BF_minus_WM,-0.002374999999999994,-0.03837499999999999,0.03299999999999999,0.90152,80
q03,HI_minus_LI,0.016875000000000008,-0.022374999999999992,0.056624999999999995,0.405695,80
q04,BF_minus_WM,0.007999999999999988,-0.002625000000000017,0.01874999999999998,0.156205,80
q04,HI_minus_LI,0.0057500000000000025,-0.007378125000000001,0.018874999999999996,0.38806,80
q05,BF_minus_WM,0.0027500000000000037,-0.009749999999999991,0.01562499999999999,0.67016,80
q05,HI_minus_LI,-0.0027499999999999946,-0.019124999999999996,0.013250000000000003,0.74882,80
q06,BF_minus_WM,0.0018749999999999975,-0.013000000000000001,0.01699999999999998,0.81282,80
q06,HI_minus_LI,-0.0026250000000000023,-0.02024999999999999,0.014749999999999977,0.76711,80
q07,BF_minus_WM,0.005499999999999986,-0.020125000000000004,0.030753124999999715,0.678675,80
q07,HI_minus_LI,-0.006,-0.03337499999999999,0.021,0.66859,80
q08,BF_minus_WM,0.00587499999999999,-0.014999999999999996,0.026999999999999975,0.591855,80
q08,HI_minus_LI,0.02812499999999999,0.0004999999999999894,0.05637499999999999,0.05719,80
q09,BF_minus_WM,-0.024249999999999994,-0.07499999999999998,0.02599999999999999,0.34976,80
q09,HI_minus_LI,-0.05175,-0.12112500000000001,0.01662499999999998,0.14783,80
q10,BF_minus_WM,0.012000000000000005,-0.031753125,0.057624999999999996,0.60461,80
q10,HI_minus_LI,-0.05724999999999999,-0.10999999999999999,-0.007624999999999995,0.03221,80
q11,BF_minus_WM,0.011375000000000001,-0.014378125000000012,0.03837499999999999,0.40625,80
q11,HI_minus_LI,0.01362499999999998,-0.017125000000000012,0.04374999999999998,0.391245,80
q12,BF_minus_WM,0.01125,-0.0115,0.03449999999999998,0.34277,80
q12,HI_minus_LI,0.019499999999999983,-0.011000000000000001,0.05012499999999996,0.216175,80
q13,BF_minus_WM,0.006125,-0.018499999999999982,0.030124999999999978,0.62567,80
q13,HI_minus_LI,-0.011625000000000007,-0.03662812500000002,0.013374999999999974,0.363505,80
q14,BF_minus_WM,0.014374999999999995,-0.002499999999999992,0.031124999999999986,0.09886,80
q14,HI_minus_LI,-0.004374999999999995,-0.025749999999999988,0.01712499999999999,0.695585,80
