outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,p_fdr
q01,HI_minus_LI,0.005520833333333334,-0.006875000000000002,0.018229166666666668,0.39212,480,0.45747333333333334
q01,HP_minus_LP,0.021145833333333332,0.009375000000000001,0.033437499999999995,0.00033,480,0.00042
q01,BF_minus_WM,-0.00031250000000000006,-0.010312499999999999,0.009895833333333333,0.95216,480,0.95216
q02,HI_minus_LI,0.03260416666666667,0.013958333333333333,0.050729166666666665,0.000355,480,0.000994
q02,HP_minus_LP,0.0634375,0.04572916666666667,0.08197916666666667,0.0,480,0.0
q02,BF_minus_WM,0.005937499999999999,-0.008437500000000002,0.0203125,0.43003,480,0.5473109090909092
q03,HI_minus_LI,0.021562500000000002,-0.00666666666666667,0.051458333333333335,0.146545,480,0.20516300000000004
q03,HP_minus_LP,-0.014479166666666664,-0.03791666666666667,0.0072916666666666685,0.212945,480,0.22932538461538463
q03,BF_minus_WM,-0.01822916666666667,-0.042502604166666666,0.006041666666666664,0.138455,480,0.24229625
q04,HI_minus_LI,0.014479166666666666,0.001562499999999999,0.0278125,0.03183,480,0.055702499999999995
q04,HP_minus_LP,0.02572916666666667,0.014479166666666664,0.03822916666666667,5e-06,480,7.000000000000001e-06
q04,BF_minus_WM,0.02364583333333333,0.012187499999999999,0.035833333333333335,3.5e-05,480,0.00049
q05,HI_minus_LI,0.008333333333333335,-0.00458333333333333,0.021979166666666668,0.21658,480,0.27564727272727274
q05,HP_minus_LP,0.011041666666666668,2.7697751499763074e-18,0.022500000000000003,0.054,480,0.063
q05,BF_minus_WM,0.008333333333333333,-0.0024999999999999983,0.020208333333333335,0.15891,480,0.2471933333333333
q06,HI_minus_LI,-0.017395833333333333,-0.035416666666666666,-0.0009374999999999994,0.045055,480,0.07008555555555555
q06,HP_minus_LP,0.006562500000000001,-0.007815104166666666,0.020104166666666666,0.36754,480,0.36754
q06,BF_minus_WM,-0.0028124999999999977,-0.016666666666666666,0.011875000000000002,0.71451,480,0.7694723076923077
q07,HI_minus_LI,0.003541666666666668,-0.018541666666666665,0.023958333333333335,0.7461,480,0.8034923076923076
q07,HP_minus_LP,0.04937500000000001,0.02802083333333333,0.0709375,0.0,480,0.0
q07,BF_minus_WM,0.0037499999999999977,-0.013958333333333333,0.022291666666666664,0.699805,480,0.7694723076923077
q08,HI_minus_LI,0.10718749999999999,0.08218750000000001,0.1320833333333333,0.0,480,0.0
q08,HP_minus_LP,0.12739583333333332,0.10520833333333333,0.15041666666666664,0.0,480,0.0
q08,BF_minus_WM,0.017187500000000005,0.0008333333333333359,0.03333333333333333,0.03644,480,0.10203199999999998
q09,HI_minus_LI,-0.15010416666666668,-0.21177083333333335,-0.08989583333333333,0.0,480,0.0
q09,HP_minus_LP,-0.1859375,-0.2394817708333333,-0.13479166666666667,0.0,480,0.0
q09,BF_minus_WM,-0.020104166666666666,-0.0540625,0.013124999999999994,0.238805,480,0.334327
q10,HI_minus_LI,-0.0010416666666666667,-0.041562499999999995,0.03781510416666645,0.96091,480,0.96091
q10,HP_minus_LP,0.14625000000000002,0.10301822916666667,0.18999999999999997,0.0,480,0.0
q10,BF_minus_WM,0.061875,0.030208333333333337,0.09395833333333334,0.000125,480,0.000875
q11,HI_minus_LI,0.059583333333333335,0.028333333333333332,0.08989843749999978,0.000115,480,0.0004025
q11,HP_minus_LP,0.09854166666666667,0.06979166666666667,0.12822916666666667,0.0,480,0.0
q11,BF_minus_WM,0.02583333333333333,-0.004791666666666666,0.05510416666666666,0.096295,480,0.22468833333333335
q12,HI_minus_LI,0.059062500000000004,0.033124999999999995,0.08489583333333334,1e-05,480,4.666666666666667e-05
q12,HP_minus_LP,0.1590625,0.12947916666666667,0.1914609374999998,0.0,480,0.0
q12,BF_minus_WM,0.04052083333333334,0.01645572916666667,0.06458333333333334,0.00057,480,0.0026599999999999996
q13,HI_minus_LI,0.04083333333333334,0.01583333333333333,0.06562499999999999,0.001235,480,0.0028816666666666665
q13,HP_minus_LP,0.08958333333333333,0.06375,0.11708333333333333,0.0,480,0.0
q13,BF_minus_WM,0.032499999999999994,0.003854166666666666,0.06052083333333333,0.02292,480,0.08022
q14,HI_minus_LI,0.019479166666666662,0.0018749999999999993,0.03770833333333334,0.03137,480,0.055702499999999995
q14,HP_minus_LP,0.0490625,0.033437499999999995,0.06520833333333333,0.0,480,0.0
q14,BF_minus_WM,0.013229166666666669,-0.0036458333333333325,0.029895833333333337,0.122385,480,0.24229625
