outcome,effect,k,mu,se,ci_lo,ci_hi,tau2,Q,I2
q01,HI_minus_LI,6,0.0010664635242198556,0.007856014539737707,-0.014331324973666052,0.016464252022105764,0.00020417076395000245,14.756927484905415,0.6611760811920769
q01,HP_minus_LP,6,0.014920285049861674,0.005571173867482168,0.004000784269596625,0.02583978583012672,4.369819980955063e-05,6.556907901649094,0.23744544303535575
q01,BF_minus_WM,6,-5.2908490217313454e-05,0.0016840455934079442,-0.0033536378532968837,0.003247820872862257,0.0,0.37697054929608004,0.0
q02,HI_minus_LI,6,0.03295200935648427,0.01797726975458115,-0.0022834393624947893,0.06818745807546334,0.001474236254750811,25.44125257606959,0.8034687960016924
q02,HP_minus_LP,6,0.05287629053276637,0.01858057866742362,0.01645835634461608,0.08929422472091667,0.001677809023645449,50.83435574370822,0.9016413225494876
q02,BF_minus_WM,6,0.0026113508345625923,0.009078875065277036,-0.015183244293380397,0.02040594596250558,0.00028728903603152003,14.542197846820907,0.6561730178156627
q03,HI_minus_LI,6,0.004984940508104553,0.010764892458293165,-0.016114248710150048,0.026084129726359158,0.00022561623641093373,8.778109888671906,0.4304012978406129
q03,HP_minus_LP,6,-0.018219575164937992,0.009937281010469355,-0.03769664594545793,0.001257495615581944,0.00022554903184253037,9.022122454360403,0.44580667960414416
q03,BF_minus_WM,6,-0.013106570658760596,0.0068303884109558975,-0.026494131944234153,0.00028099062671296283,5.81461083246162e-05,6.184374758135397,0.19151083245357672
q04,HI_minus_LI,5,0.0129365614110364,0.009581998306395167,-0.005844155269498127,0.031717278091570926,0.00023433538603327217,9.28832471146951,0.5693518342375912
q04,HP_minus_LP,5,0.01813386631363413,0.008409234908899253,0.0016517658921915979,0.034615966735076664,0.00021827844755039122,14.434025330624461,0.7228770278299804
q04,BF_minus_WM,5,0.01615843925475689,0.006021647423105629,0.0043560103054698564,0.02796086820404392,7.198925102169255e-05,6.966942652721719,0.4258600652558332
q05,HI_minus_LI,5,0.0019070543515205957,0.006453325259506809,-0.01074146315711275,0.014555571860153941,5.9735838249354217e-05,5.60211858511139,0.28598441121351853
q05,HP_minus_LP,5,0.011163390437185564,0.007435791875141886,-0.003410761638092532,0.02573754251246366,7.777047906042745e-05,5.5673979304845735,0.2815315071879819
q05,BF_minus_WM,5,0.006423451772002553,0.007972490320255236,-0.00920262925569771,0.022049532799702815,0.0001736765549220289,11.086549764307346,0.6392024493609525
q06,HI_minus_LI,6,-0.006799015467884565,0.005158577841935435,-0.016909828038078015,0.003311797102308887,5.029220610524152e-05,7.57280903997602,0.3397430235457472
q06,HP_minus_LP,6,0.002972785537913776,0.002713181342993302,-0.0023450498943530956,0.008290620970180648,7.019594729258739e-06,5.346484823028643,0.06480609867931286
q06,BF_minus_WM,6,5.656912984579428e-05,0.0013460033527973245,-0.002581597441636962,0.00269473570132855,0.0,3.899955320508416,0.0
q07,HI_minus_LI,6,0.004341189422405099,0.009782948204507683,-0.014833389058429958,0.023515767903240156,0.0002401204426816837,9.491587592842809,0.4732177361171611
q07,HP_minus_LP,6,0.036978781663128985,0.013475690124506936,0.01056642901909539,0.06339113430716257,0.0006490649208015026,18.21307575410277,0.7254719594040192
q07,BF_minus_WM,6,-0.0004652568630604998,0.00446745033203571,-0.009221459513850493,0.008290945787729492,0.0,4.979158509495777,0.0
q08,HI_minus_LI,6,0.10633149413681224,0.03365613947106934,0.04036546077351634,0.17229752750010813,0.005933068648531149,45.056614624056,0.8890285024359005
q08,HP_minus_LP,6,0.12583165369949878,0.03984131316076729,0.04774267990439489,0.20392062749460266,0.008818369824834233,89.94507844396266,0.9444105215482681
q08,BF_minus_WM,6,0.012066146142290627,0.009775617238495448,-0.0070940636451604505,0.031226355929741705,0.0003528642077876088,20.167841635248326,0.7520805602092167
q09,HI_minus_LI,6,-0.10852405471782793,0.06079161819565724,-0.2276756263813161,0.010627516945660262,0.01820895343912924,48.49591674193885,0.8968985362910762
q09,HP_minus_LP,6,-0.14785849947169222,0.051910591692234,-0.24960325918847087,-0.04611373975491358,0.013229694088872418,49.210846194371356,0.898396382369627
q09,BF_minus_WM,6,-0.02303565993825794,0.009626506426667843,-0.041903612534526916,-0.004167707341988968,0.0,4.728859656362187,0.0
q10,HI_minus_LI,6,0.019223831944714567,0.041528240812841614,-0.062171520048455,0.10061918393788413,0.008464633861936157,38.32229670316687,0.8695276528249725
q10,HP_minus_LP,6,0.15722852211076346,0.05339125345654122,0.052581665335942676,0.26187537888558426,0.014623470897312535,44.298369625622115,0.8871290288501271
q10,BF_minus_WM,6,0.06256301382574307,0.02988368419343097,0.003990992806618375,0.12113503484486776,0.0040461834309001585,28.05806951203341,0.8217981462389768
q11,HI_minus_LI,6,0.03435249554269836,0.015618899645045238,0.0037394522384096955,0.06496553884698703,0.0007677046625665234,15.926774462181928,0.6860632382361863
q11,HP_minus_LP,6,0.09832927088884458,0.036621048852262514,0.026552015138410046,0.1701065266392791,0.006924131281560712,73.24451881844033,0.93173550621045
q11,BF_minus_WM,6,0.017798681967801884,0.01284064442918104,-0.007368981113392955,0.042966345048996726,0.0005866157675021997,22.33892472034811,0.7761754398390719
q12,HI_minus_LI,5,0.073375178814447,0.022986251833571385,0.02832212522064708,0.1184282324082469,0.0016124306748718938,11.492604487196841,0.6519500862962666
q12,HP_minus_LP,5,0.19444774176311408,0.0312681292534643,0.13316220842632406,0.2557332750999041,0.003406595139280293,14.695543042843964,0.7278086295730452
q12,BF_minus_WM,5,0.03732298294634817,0.018839381489527542,0.0003977952268741855,0.07424817066582215,0.0011920594464760238,17.106097065864006,0.7661652459588704
q13,HI_minus_LI,6,0.0393061058344496,0.009396658135014238,0.020888655889821695,0.05772355577907751,2.1761557387412715e-05,5.190820202261679,0.03676108877331894
q13,HP_minus_LP,6,0.08610621179394928,0.011293323220190768,0.06397129828237538,0.10824112530552318,0.0,4.8719943923736375,0.0
q13,BF_minus_WM,6,0.0195702838643257,0.013798320750365387,-0.007474424806390458,0.04661499253504185,0.0006941834819387691,17.04533522886576,0.7066646133463746
q14,HI_minus_LI,5,0.01944441307945433,0.015916775298766964,-0.01175246650612892,0.05064129266503758,0.0007925479648655499,11.670183912926893,0.6572461899619887
q14,HP_minus_LP,5,0.06255064105983545,0.013025090271903137,0.037021464126905296,0.0880798179927656,0.00041321319994842555,7.86807722796556,0.49161658126806723
q14,BF_minus_WM,5,0.007168271173763249,0.006447739651081365,-0.005469298542356227,0.019805840889882725,5.02586207810767e-05,5.045868843628727,0.20727230057699889
