outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,model,se_model
QI,HI_minus_LI,-0.012053571428571422,-0.05982142857142857,0.03303571428571429,0.64516,80,deepreviewer,0.023856093085668155
QI,HP_minus_LP,0.006696428571428577,-0.025446428571428564,0.02946428571428572,0.772915,80,deepreviewer,0.014447179596327993
QI,BF_minus_WM,0.024553571428571428,-0.011160714285714288,0.06741071428571428,0.242625,80,deepreviewer,0.020006232782201247
PI,HI_minus_LI,0.03958333333333333,-0.021875000000000006,0.10260416666666665,0.228985,80,deepreviewer,0.031966126531517286
PI,HP_minus_LP,0.052083333333333336,5.551115123125783e-18,0.10989583333333335,0.063825,80,deepreviewer,0.02804406035827088
PI,BF_minus_WM,0.07708333333333334,-0.013541666666666664,0.1609375,0.091715,80,deepreviewer,0.04506878143210625
AR,HI_minus_LI,0.05,-0.025,0.128125,0.241255,80,deepreviewer,0.03887256036546974
AR,HP_minus_LP,0.00625,-0.05,0.05625,0.915395,80,deepreviewer,0.02740598139924378
AR,BF_minus_WM,0.03125,-0.053125,0.1125,0.51101,80,deepreviewer,0.04157096075965784
QI,HI_minus_LI,0.03267857142857143,0.009285714285714277,0.05919642857142858,0.01119,80,gemma,0.01296430065905614
QI,HP_minus_LP,0.009107142857142859,-0.002232142857142859,0.02089285714285715,0.128015,80,gemma,0.005864293203053282
QI,BF_minus_WM,0.00839285714285714,-0.004464285714285719,0.021966517857142678,0.22546,80,gemma,0.006752171546176467
PI,HI_minus_LI,0.0625,0.030830729166666668,0.09635416666666667,0.000225,80,gemma,0.016886732781165918
PI,HP_minus_LP,0.10729166666666665,0.08104166666666668,0.1353125,0.0,80,gemma,0.014044345798576234
PI,BF_minus_WM,0.048958333333333326,0.028020833333333335,0.07333333333333333,0.0,80,gemma,0.011657032452160251
AR,HI_minus_LI,0.053125,0.008750000000000003,0.09874999999999999,0.02214,80,gemma,0.022752516726838444
AR,HP_minus_LP,0.06437499999999999,0.026875,0.10625,0.00177,80,gemma,0.0203060785857744
AR,BF_minus_WM,0.015625,-0.01,0.042499999999999996,0.25753,80,gemma,0.013300142463784439
QI,HI_minus_LI,-0.011785714285714283,-0.019910714285714278,-0.0041964285714285714,0.004295,80,gpt,0.0040742352560604106
QI,HP_minus_LP,0.021428571428571425,0.009642857142857134,0.034285714285714274,0.000595,80,gpt,0.006306096741212619
