text_id,outcome,effect,value
text01-BIO-SHORT-2505.02276v1,QI,BF_minus_WM,0.049999999999999996
text02-BIO-SHORT-2507.04575v1,QI,BF_minus_WM,0.002380952380952391
text03-BIO-SHORT-2505.11568v3,QI,BF_minus_WM,-0.010714285714285713
text04-BIO-SHORT-2507.08385v1,QI,BF_minus_WM,-0.040476190476190506
text05-BIO-SHORT-2504.10973v1,QI,BF_minus_WM,0.030952380952380943
text06-BIO-SHORT-2506.14789v1,QI,BF_minus_WM,0.01071428571428574
text07-BIO-SHORT-2506.13576v3,QI,BF_minus_WM,-0.0011904761904761862
text08-BIO-SHORT-2503.19923v2,QI,BF_minus_WM,-0.059523809523809555
text09-BIO-SHORT-2602.00019v1,QI,BF_minus_WM,0.01785714285714284
text10-BIO-SHORT-2506.13817v1,QI,BF_minus_WM,0.01785714285714284
text11-CS-SHORT-2506.09194v1,QI,BF_minus_WM,0.013095238095238068
text12-CS-SHORT-2512.19717v1,QI,BF_minus_WM,-0.009523809523809545
text13-CS-SHORT-2510.04124v5,QI,BF_minus_WM,0.027380952380952412
text14-CS-SHORT-2509.13349v2,QI,BF_minus_WM,-0.005952380952380959
text15-CS-SHORT-2602.03870v1,QI,BF_minus_WM,0.004761904761904773
text16-CS-SHORT-2509.06033v1,QI,BF_minus_WM,0.04999999999999993
text17-CS-SHORT-2509.16294v1,QI,BF_minus_WM,-0.005952380952380959
text18-CS-SHORT-2507.09492v1,QI,BF_minus_WM,-0.010714285714285723
text19-CS-SHORT-2509.14600v1,QI,BF_minus_WM,0.03333333333333338
text20-CS-SHORT-2503.14899v1,QI,BF_minus_WM,-0.04166666666666664
text21-PHY-SHORT-2601.23079v1,QI,BF_minus_WM,-0.00952380952380949
text22-PHY-SHORT-2601.23047v1,QI,BF_minus_WM,0.07142857142857141
text23-PHY-SHORT-2601.23057v1,QI,BF_minus_WM,-0.021428571428571436
text24-PHY-SHORT-2509.16741v1,QI,BF_minus_WM,-0.04166666666666669
text25-PHY-SHORT-2507.08042v1,QI,BF_minus_WM,0.17499999999999996
