scope,domain,outcome,perturbation,N,p_loss,mean_loss,mean_loss_given_loss,q95_loss,mean_delta,median_delta
overall,ALL,QI,group_BF_to_WM,80.0,0.5375,1.24375,2.313953488372093,5.024999999999999,-0.4125,-0.25
overall,ALL,QI,institution_HI_to_LI,80.0,0.5125,1.665625,3.25,6.549999999999997,-0.984375,-0.25
overall,ALL,QI,bibliometrics_HP_to_LP,80.0,0.725,2.665625,3.6767241379310347,9.774999999999999,-2.39375,-1.5
overall,ALL,PI,group_BF_to_WM,80.0,0.6875,2.3625,3.4363636363636365,8.787499999999998,-1.765625,-1.5
overall,ALL,PI,institution_HI_to_LI,80.0,0.7875,3.7625,4.777777777777778,12.799999999999997,-3.49375,-2.625
overall,ALL,PI,bibliometrics_HP_to_LP,80.0,0.9625,6.346875,6.5941558441558445,16.775,-6.328125,-5.25
overall,ALL,AR,group_BF_to_WM,80.0,0.55,1.6875,3.0681818181818183,8.024999999999999,-1.08125,-0.5
overall,ALL,AR,institution_HI_to_LI,80.0,0.525,1.7375,3.3095238095238093,8.7625,-0.95625,-0.25
overall,ALL,AR,bibliometrics_HP_to_LP,80.0,0.625,3.046875,4.875,14.037499999999998,-2.828125,-0.625
domain,BIO,QI,group_BF_to_WM,20.0,0.5,0.3625,0.725,1.2875000000000005,-0.2875,-0.125
domain,BIO,QI,institution_HI_to_LI,20.0,0.45,0.3875,0.8611111111111112,2.0,-0.2625,0.0
domain,BIO,QI,bibliometrics_HP_to_LP,20.0,0.5,0.55,1.1,2.0500000000000007,-0.4625,-0.125
domain,BIO,PI,group_BF_to_WM,20.0,0.6,0.55,0.9166666666666666,2.0125,-0.475,-0.25
domain,BIO,PI,institution_HI_to_LI,20.0,0.75,0.6875,0.9166666666666666,2.0,-0.5875,-0.375
domain,BIO,PI,bibliometrics_HP_to_LP,20.0,0.95,1.425,1.5,3.7625,-1.425,-1.375
domain,BIO,AR,group_BF_to_WM,20.0,0.45,0.45,1.0,1.7875000000000005,-0.2875,0.0
domain,BIO,AR,institution_HI_to_LI,20.0,0.45,0.325,0.7222222222222222,0.8375000000000012,0.0,0.0
domain,BIO,AR,bibliometrics_HP_to_LP,20.0,0.45,0.6875,1.5277777777777777,3.7625,-0.575,0.0
domain,CS,QI,group_BF_to_WM,20.0,0.5,0.2625,0.525,0.7750000000000004,-0.15,-0.125
domain,CS,QI,institution_HI_to_LI,20.0,0.25,0.2,0.8,0.8000000000000007,0.2,0.0
domain,CS,QI,bibliometrics_HP_to_LP,20.0,0.6,0.5,0.8333333333333334,2.25,-0.3875,-0.25
domain,CS,PI,group_BF_to_WM,20.0,0.8,0.5375,0.671875,1.25,-0.4875,-0.25
domain,CS,PI,institution_HI_to_LI,20.0,0.6,0.95,1.5833333333333333,2.5375000000000005,-0.8625,-0.5
domain,CS,PI,bibliometrics_HP_to_LP,20.0,0.85,1.3375,1.5735294117647058,3.562500000000001,-1.3375,-1.0
domain,CS,AR,group_BF_to_WM,20.0,0.4,0.275,0.6875,0.7875000000000005,-0.1125,0.0
domain,CS,AR,institution_HI_to_LI,20.0,0.45,0.4125,0.9166666666666666,1.7875000000000005,-0.275,0.0
domain,CS,AR,bibliometrics_HP_to_LP,20.0,0.4,0.45,1.125,1.887500000000002,-0.3125,0.0
domain,MATH,QI,group_BF_to_WM,20.0,0.25,0.3375,1.35,1.137500000000002,0.1,0.0
domain,MATH,QI,institution_HI_to_LI,20.0,0.55,0.55,1.0,1.7875000000000005,-0.4375,-0.25
domain,MATH,QI,bibliometrics_HP_to_LP,20.0,0.65,0.7375,1.1346153846153846,2.5500000000000007,-0.675,-0.375
domain,MATH,PI,group_BF_to_WM,20.0,0.65,0.5875,0.9038461538461539,2.0,-0.3375,-0.5
domain,MATH,PI,institution_HI_to_LI,20.0,0.75,0.9875,1.3166666666666667,2.3375000000000012,-0.8875,-1.0
domain,MATH,PI,bibliometrics_HP_to_LP,20.0,0.9,1.325,1.4722222222222223,2.7750000000000004,-1.325,-1.125
domain,MATH,AR,group_BF_to_WM,20.0,0.55,0.4,0.7272727272727273,1.0250000000000004,-0.1625,-0.25
domain,MATH,AR,institution_HI_to_LI,20.0,0.6,0.5125,0.8541666666666666,1.7875000000000005,-0.3875,-0.25
domain,MATH,AR,bibliometrics_HP_to_LP,20.0,0.75,0.65,0.8666666666666667,2.3000000000000007,-0.6125,-0.25
domain,PHY,QI,group_BF_to_WM,20.0,0.35,0.3625,1.0357142857142858,1.5250000000000004,-0.1375,0.0
domain,PHY,QI,institution_HI_to_LI,20.0,0.4,0.775,1.9375,5.0375000000000005,-0.5375,0.0
domain,PHY,QI,bibliometrics_HP_to_LP,20.0,0.6,0.8,1.3333333333333333,2.2875000000000005,-0.7625,-0.25
domain,PHY,PI,group_BF_to_WM,20.0,0.5,0.6625,1.325,2.325000000000001,-0.4875,-0.125
domain,PHY,PI,institution_HI_to_LI,20.0,0.65,1.2,1.8461538461538463,4.275,-1.0875,-0.75
domain,PHY,PI,bibliometrics_HP_to_LP,20.0,0.85,2.05,2.411764705882353,3.9250000000000025,-2.0125,-1.875
domain,PHY,AR,group_BF_to_WM,20.0,0.45,0.75,1.6666666666666667,3.075000000000001,-0.6875,0.0
domain,PHY,AR,institution_HI_to_LI,20.0,0.25,0.3625,1.45,1.8000000000000007,-0.2,0.0
domain,PHY,AR,bibliometrics_HP_to_LP,20.0,0.6,1.1875,1.9791666666666667,3.1875000000000027,-1.175,-0.5
