scope,domain,outcome,perturbation,flip_rate_A_to_R,flip_rate_A_to_R_ci_low,flip_rate_A_to_R_ci_high,topk_instability,topk_instability_ci_low,topk_instability_ci_high,N,K
overall,ALL,QI,group_BF_to_WM,0.09375,0.0,0.23333333333333334,0.001953125,0.000390625,0.00390625,80.0,8.0
overall,ALL,QI,group_BF_to_WM,0.08333333333333333,0.0,0.19233870967741892,0.0024305555555555565,0.0006944444444444448,0.004861111111111113,80.0,9.0
overall,ALL,QI,group_BF_to_WM,0.15,0.040795918367346945,0.30434782608695654,0.003749999999999999,0.0015624999999999997,0.006562499999999999,80.0,10.0
overall,ALL,QI,group_BF_to_WM,0.09090909090909091,0.018867924528301886,0.2,0.0025568181818181827,0.0008522727272727276,0.004545454545454547,80.0,11.0
overall,ALL,QI,group_BF_to_WM,0.125,0.03125,0.25925925925925924,0.004166666666666668,0.0018229166666666676,0.007031250000000003,80.0,12.0
overall,ALL,QI,group_BF_to_WM,0.1346153846153846,0.043478260869565216,0.26,0.0038461538461538438,0.0016826923076923065,0.006249999999999996,80.0,13.0
overall,ALL,QI,group_BF_to_WM,0.125,0.03636363636363636,0.24444444444444444,0.0033482142857142842,0.0013392857142857136,0.00558035714285714,80.0,14.0
overall,ALL,QI,group_BF_to_WM,0.13333333333333333,0.04937765634486946,0.25,0.0031249999999999993,0.0012499999999999998,0.005416666666666665,80.0,15.0
overall,ALL,QI,group_BF_to_WM,0.109375,0.034482758620689655,0.21311475409836064,0.0025390625,0.0009765625,0.0044921875,80.0,16.0
overall,ALL,QI,group_BF_to_WM,0.11764705882352941,0.039209320091673036,0.2222222222222222,0.002389705882352942,0.0009191176470588237,0.004227941176470589,80.0,17.0
overall,ALL,QI,group_BF_to_WM,0.125,0.0547945205479452,0.22413793103448276,0.002083333333333334,0.0008680555555555559,0.003645833333333335,80.0,18.0
overall,ALL,QI,group_BF_to_WM,0.15789473684210525,0.07446808510638298,0.2727272727272727,0.0034539473684210564,0.0016447368421052648,0.005427631578947374,80.0,19.0
overall,ALL,QI,group_BF_to_WM,0.1875,0.09458267090620033,0.3157894736842105,0.003593750000000003,0.0018750000000000017,0.005625000000000005,80.0,20.0
overall,ALL,QI,institution_HI_to_LI,0.21875,0.05263157894736842,0.4595114345114338,0.004296875,0.001171875,0.008203125,80.0,8.0
overall,ALL,QI,institution_HI_to_LI,0.19444444444444445,0.043478260869565216,0.4081864564007418,0.003819444444444446,0.001041666666666667,0.00729166666666667,80.0,9.0
overall,ALL,QI,institution_HI_to_LI,0.175,0.0605909090909091,0.348866279069767,0.0034374999999999987,0.0012499999999999998,0.005937499999999998,80.0,10.0
overall,ALL,QI,institution_HI_to_LI,0.11363636363636363,0.02702702702702703,0.23687343358395943,0.0025568181818181827,0.0008522727272727276,0.004545454545454547,80.0,11.0
overall,ALL,QI,institution_HI_to_LI,0.08333333333333333,0.01639344262295082,0.18181818181818182,0.002083333333333334,0.0007812500000000004,0.003906250000000002,80.0,12.0
overall,ALL,QI,institution_HI_to_LI,0.1346153846153846,0.045454545454545456,0.25491239048811,0.0028846153846153826,0.0014423076923076913,0.0048076923076923045,80.0,13.0
overall,ALL,QI,institution_HI_to_LI,0.125,0.03773584905660377,0.24646739130434653,0.002901785714285713,0.001116071428571428,0.005133928571428569,80.0,14.0
overall,ALL,QI,institution_HI_to_LI,0.15,0.0625,0.26666666666666666,0.002916666666666666,0.0012499999999999998,0.004999999999999999,80.0,15.0
overall,ALL,QI,institution_HI_to_LI,0.140625,0.058823529411764705,0.25,0.0025390625,0.001171875,0.004296875,80.0,16.0
overall,ALL,QI,institution_HI_to_LI,0.14705882352941177,0.06060606060606061,0.2608695652173913,0.0025735294117647063,0.0011029411764705884,0.004227941176470589,80.0,17.0
overall,ALL,QI,institution_HI_to_LI,0.1388888888888889,0.06059693318729464,0.24489795918367346,0.002604166666666668,0.0013888888888888896,0.003993055555555557,80.0,18.0
overall,ALL,QI,institution_HI_to_LI,0.17105263157894737,0.08333333333333333,0.29731167337550296,0.0032894736842105296,0.0016447368421052648,0.00509868421052632,80.0,19.0
overall,ALL,QI,institution_HI_to_LI,0.2,0.09721102150537635,0.3333333333333333,0.003437500000000003,0.0018750000000000017,0.005312500000000005,80.0,20.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.28125,0.0967741935483871,0.5263157894736842,0.00390625,0.001171875,0.007421875,80.0,8.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.25,0.037037037037037035,0.5,0.0034722222222222238,0.0006944444444444448,0.00729166666666667,80.0,9.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.25,0.06060606060606061,0.48151340996168535,0.0034374999999999987,0.0009374999999999997,0.006874999999999997,80.0,10.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.22727272727272727,0.07017543859649122,0.4375,0.0031250000000000015,0.0008522727272727276,0.005965909090909093,80.0,11.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.2708333333333333,0.11627906976744186,0.4838954056695989,0.003906250000000002,0.0015625000000000007,0.006770833333333337,80.0,12.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.3076923076923077,0.16,0.5,0.004567307692307689,0.002163461538461537,0.007451923076923073,80.0,13.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.30357142857142855,0.16895539906103288,0.46671874999999924,0.0042410714285714265,0.0020089285714285704,0.0066964285714285685,80.0,14.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.21666666666666667,0.0908751696065129,0.3770491803278688,0.002916666666666666,0.0010416666666666664,0.004999999999999999,80.0,15.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.171875,0.05432841614906833,0.3333333333333333,0.002734375,0.0009765625,0.005078125,80.0,16.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.17647058823529413,0.05880925185608224,0.3333333333333333,0.002757352941176471,0.0011029411764705884,0.0049632352941176485,80.0,17.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.1527777777777778,0.05555555555555555,0.2838320463320456,0.002083333333333334,0.0008680555555555559,0.003645833333333335,80.0,18.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.18421052631578946,0.08218616662923871,0.3230769230769231,0.0034539473684210564,0.0018092105263157912,0.005263157894736847,80.0,19.0
overall,ALL,QI,bibliometrics_HP_to_LP,0.2125,0.10587952488687782,0.35898437499999986,0.003593750000000003,0.0018750000000000017,0.005468750000000005,80.0,20.0
overall,ALL,PI,group_BF_to_WM,0.21875,0.05263157894736842,0.48484848484848486,0.003515625,0.001171875,0.006640625,80.0,8.0
overall,ALL,PI,group_BF_to_WM,0.19444444444444445,0.045454545454545456,0.4444444444444444,0.0031250000000000015,0.001041666666666667,0.00590277777777778,80.0,9.0
overall,ALL,PI,group_BF_to_WM,0.225,0.07839366515837105,0.4167151162790691,0.0034374999999999987,0.0012499999999999998,0.005937499999999999,80.0,10.0
overall,ALL,PI,group_BF_to_WM,0.11363636363636363,0.0,0.2647208883553419,0.0017045454545454551,0.0002840909090909092,0.003693181818181819,80.0,11.0
overall,ALL,PI,group_BF_to_WM,0.14583333333333334,0.037037037037037035,0.28205128205128205,0.002604166666666668,0.0007812500000000004,0.004687500000000002,80.0,12.0
overall,ALL,PI,group_BF_to_WM,0.1346153846153846,0.03125,0.2857142857142857,0.0024038461538461522,0.0009615384615384609,0.004326923076923074,80.0,13.0
overall,ALL,PI,group_BF_to_WM,0.14285714285714285,0.044436274509803926,0.2623166522864535,0.002901785714285713,0.001116071428571428,0.004910714285714284,80.0,14.0
overall,ALL,PI,group_BF_to_WM,0.13333333333333333,0.048367895545314905,0.24666095890410833,0.0031249999999999993,0.0012499999999999998,0.005416666666666665,80.0,15.0
overall,ALL,PI,group_BF_to_WM,0.15625,0.07041635779589821,0.2727639296187678,0.0037109375,0.0017578125,0.0060546875,80.0,16.0
overall,ALL,PI,group_BF_to_WM,0.1323529411764706,0.05555555555555555,0.23809523809523808,0.0031250000000000006,0.0012867647058823531,0.0053308823529411775,80.0,17.0
overall,ALL,PI,group_BF_to_WM,0.1527777777777778,0.07272068511198945,0.2592712842712841,0.0032986111111111124,0.0013888888888888896,0.005555555555555558,80.0,18.0
overall,ALL,PI,group_BF_to_WM,0.13157894736842105,0.05454545454545454,0.22807017543859648,0.002467105263157897,0.0009868421052631588,0.004440789473684215,80.0,19.0
overall,ALL,PI,group_BF_to_WM,0.1125,0.03772995283018868,0.21155303030303008,0.002343750000000002,0.0009375000000000008,0.004062500000000004,80.0,20.0
overall,ALL,PI,institution_HI_to_LI,0.46875,0.25,0.71875,0.00703125,0.002734375,0.012109375,80.0,8.0
overall,ALL,PI,institution_HI_to_LI,0.4722222222222222,0.23251341681574242,0.7250568181818173,0.00729166666666667,0.0031250000000000015,0.012500000000000006,80.0,9.0
overall,ALL,PI,institution_HI_to_LI,0.475,0.24524850437183618,0.7272727272727273,0.006562499999999999,0.0024999999999999996,0.011249999999999996,80.0,10.0
overall,ALL,PI,institution_HI_to_LI,0.3181818181818182,0.12195121951219512,0.5322849462365588,0.004261363636363638,0.001420454545454546,0.007954545454545457,80.0,11.0
overall,ALL,PI,institution_HI_to_LI,0.22916666666666666,0.05712938005390836,0.4339827727645608,0.0031250000000000015,0.0007812500000000004,0.006250000000000003,80.0,12.0
overall,ALL,PI,institution_HI_to_LI,0.2692307692307692,0.1111111111111111,0.4782608695652174,0.004086538461538459,0.0016826923076923065,0.0069711538461538405,80.0,13.0
overall,ALL,PI,institution_HI_to_LI,0.25,0.11764705882352941,0.41509433962264153,0.00357142857142857,0.0015624999999999992,0.005809151785714202,80.0,14.0
overall,ALL,PI,institution_HI_to_LI,0.23333333333333334,0.0967741935483871,0.4,0.003749999999999999,0.0016666666666666663,0.006249999999999999,80.0,15.0
overall,ALL,PI,institution_HI_to_LI,0.28125,0.14516129032258066,0.44680851063829785,0.0046875,0.0021484375,0.0076171875,80.0,16.0
overall,ALL,PI,institution_HI_to_LI,0.23529411764705882,0.11764705882352941,0.3725636523266021,0.003676470588235295,0.0018382352941176475,0.005882352941176472,80.0,17.0
overall,ALL,PI,institution_HI_to_LI,0.25,0.13846153846153847,0.3829875886524821,0.003645833333333335,0.001909722222222223,0.005729166666666669,80.0,18.0
overall,ALL,PI,institution_HI_to_LI,0.27631578947368424,0.1549253856472166,0.4166666666666667,0.0037828947368421088,0.0019736842105263176,0.00576069078947363,80.0,19.0
overall,ALL,PI,institution_HI_to_LI,0.2875,0.16923076923076924,0.4286129568106306,0.0037500000000000033,0.002031250000000002,0.005781250000000005,80.0,20.0
overall,ALL,PI,bibliometrics_HP_to_LP,0.59375,0.4090909090909091,0.8181818181818182,0.007421875,0.003125,0.0125,80.0,8.0
overall,ALL,PI,bibliometrics_HP_to_LP,0.5277777777777778,0.3255668604651163,0.7727272727272727,0.00729166666666667,0.0034722222222222238,0.01180555555555556,80.0,9.0
overall,ALL,PI,bibliometrics_HP_to_LP,0.55,0.36363636363636365,0.7727272727272727,0.007812499999999998,0.003749999999999999,0.012499999999999997,80.0,10.0
overall,ALL,PI,bibliometrics_HP_to_LP,0.3181818181818182,0.13233359133126935,0.5333928571428562,0.004545454545454547,0.0017045454545454551,0.007954545454545457,80.0,11.0
overall,ALL,PI,bibliometrics_HP_to_LP,0.2708333333333333,0.11764705882352941,0.4482758620689655,0.003906250000000002,0.0015625000000000007,0.006770833333333337,80.0,12.0
