text_id,delta_rank_group_QI,delta_rank_inst_QI,delta_rank_biblio_QI,delta_rank_group_PI,delta_rank_inst_PI,delta_rank_biblio_PI,delta_rank_group_AR,delta_rank_inst_AR,delta_rank_biblio_AR
text01-BIO-SHORT-2505.02276v1,0.0,0.0,0.0,0.25,0.75,-0.75,-1.0,-0.25,0.0
text02-BIO-SHORT-2507.04575v1,-0.25,0.0,0.0,-1.75,-2.75,-2.5,0.25,-0.75,-2.25
text03-BIO-SHORT-2505.11568v3,1.5,-1.75,0.25,-1.5,-5.75,-10.75,0.0,-3.0,0.0
text04-BIO-SHORT-2507.08385v1,0.75,0.0,0.0,0.25,-2.5,-0.5,0.5,0.75,-0.5
text05-BIO-SHORT-2504.10973v1,-2.0,1.25,-1.75,-1.0,-1.5,-2.25,-0.25,-1.5,-3.0
text06-BIO-SHORT-2506.14789v1,-3.5,-4.5,-4.75,4.25,-6.25,-9.0,1.0,1.0,-2.75
text07-BIO-SHORT-2506.13576v3,-2.75,-7.5,2.25,-1.75,-4.5,-6.75,-3.25,-1.25,-14.0
text08-BIO-SHORT-2503.19923v2,0.75,0.0,-0.25,0.75,-0.5,0.0,2.5,-0.75,0.25
text09-BIO-SHORT-2602.00019v1,-1.75,-0.75,-5.5,-3.0,-0.75,-3.25,-0.5,-0.75,1.75
text10-BIO-SHORT-2506.13817v1,-3.25,-0.5,-11.5,-1.0,-7.5,-7.25,-2.75,-2.75,-3.5
text11-CS-SHORT-2506.09194v1,-0.75,0.75,2.5,-3.5,0.75,-4.5,-0.75,-0.5,-0.5
text12-CS-SHORT-2512.19717v1,2.5,-10.0,-6.5,-3.0,-14.5,-21.75,-2.25,-9.0,-20.25
text13-CS-SHORT-2510.04124v5,-3.75,3.0,3.5,-6.0,-1.75,-16.75,-3.0,0.5,-12.25
text14-CS-SHORT-2509.13349v2,0.25,0.25,-4.75,-8.75,-12.25,-5.5,-1.0,-4.25,-4.5
text15-CS-SHORT-2602.03870v1,-1.0,0.75,0.0,-0.25,-0.25,-4.5,0.0,0.0,-0.5
text16-CS-SHORT-2509.06033v1,-1.5,-0.25,-2.75,-1.25,-0.5,-2.75,-3.5,-2.5,0.5
text17-CS-SHORT-2509.16294v1,0.5,2.0,-0.25,2.5,-0.25,-4.0,0.25,1.25,0.25
text18-CS-SHORT-2507.09492v1,0.25,1.0,-1.0,-3.75,-7.25,-7.0,4.25,-9.0,-1.0
text19-CS-SHORT-2509.14600v1,-0.75,2.0,-1.25,-4.25,0.75,-1.25,-0.25,-0.5,-0.5
text20-CS-SHORT-2503.14899v1,0.25,-1.75,2.0,-2.25,0.25,-0.75,1.0,-1.0,2.25
text21-PHY-SHORT-2601.23079v1,1.25,3.75,-4.25,6.0,4.0,-13.75,1.0,-5.25,-8.75
text22-PHY-SHORT-2601.23047v1,-3.0,-0.75,0.5,-2.25,-4.5,-5.25,-4.25,-3.5,-1.75
text23-PHY-SHORT-2601.23057v1,2.25,-1.25,0.0,0.0,-1.75,-3.0,-0.5,0.75,0.0
text24-PHY-SHORT-2509.16741v1,1.75,0.0,-1.25,1.25,0.5,-4.0,0.5,0.0,0.0
text25-PHY-SHORT-2507.08042v1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
text26-PHY-SHORT-2512.23538v1,-1.0,1.25,-1.5,-7.25,-7.25,-1.75,0.0,0.0,0.0
text27-PHY-SHORT-2510.18500v1,-5.5,-3.75,-6.0,-0.25,-3.0,-5.25,-13.75,1.75,-8.25
text28-PHY-SHORT-2508.20431v1,-1.0,-1.25,-8.25,-3.5,-6.0,-11.75,-2.25,-0.25,-9.5
text29-PHY-SHORT-2509.06825v1,0.0,0.5,-1.5,-0.75,0.75,-3.25,-2.25,0.0,-1.75
text30-PHY-SHORT-2509.17653v2,-8.75,-18.25,-9.75,-14.75,-2.0,-8.0,-10.5,-8.5,-13.25
text31-MATH-SHORT-2511.03536v1,2.0,-0.5,-2.0,-6.25,-3.5,-7.75,2.0,-4.75,-3.75
text32-MATH-SHORT-2603.02088v1,-1.0,2.5,-5.75,-3.5,-1.25,-7.5,-6.5,2.0,-1.75
text33-MATH-SHORT-2512.22134v3,3.5,-6.5,-12.5,-7.5,-7.75,-8.25,-2.75,-10.75,-14.75
text34-MATH-SHORT-2509.00532v1,3.0,-2.0,-1.25,7.5,-7.0,-2.75,8.25,-8.75,-2.75
text35-MATH-SHORT-2512.06844v1,-1.0,1.0,1.0,-1.5,-3.0,-11.5,-5.75,-5.5,0.0
text36-MATH-SHORT-2503.09380v2,0.75,-2.25,-1.5,-1.5,-1.25,-1.5,0.0,-0.25,-0.75
text37-MATH-SHORT-2510.26426v1,-3.75,0.75,-2.25,-1.25,-3.5,-6.25,0.25,1.0,0.5
text38-MATH-SHORT-2512.04101v1,-0.25,-0.25,-0.5,0.75,0.0,-2.0,-0.5,1.5,-3.75
text39-MATH-SHORT-2506.11609v2,2.25,0.25,-5.5,-12.5,-6.5,-12.25,-3.25,-4.75,-6.75
text40-MATH-SHORT-2507.15879v2,-0.5,0.0,-1.0,4.0,4.0,-9.0,0.0,1.5,0.25
text41-BIO-LONG-2512.06709v1,-2.75,-4.0,-3.25,1.0,-0.25,-2.5,-2.0,-3.5,-0.25
text42-BIO-LONG-2503.07104v1,0.75,-1.0,-1.25,0.5,-1.0,-6.25,0.0,0.0,0.0
text43-BIO-LONG-2506.16577v1,-0.25,-2.25,-7.5,-9.75,-3.75,-8.25,-8.0,-2.25,-17.0
text44-BIO-LONG-2505.20052v1,-5.75,-2.5,-6.0,-9.5,-4.0,-19.0,-12.5,1.5,-7.0
text45-BIO-LONG-2507.17897v4,0.75,4.0,1.0,-6.75,-1.75,-12.25,-1.75,-7.25,-11.0
text46-BIO-LONG-2505.05863v1,-0.5,0.0,-1.25,0.25,4.5,-5.75,-1.75,3.25,-0.25
text47-BIO-LONG-2505.21094v1,-1.75,-1.75,0.0,-0.25,-1.0,-2.75,-2.75,-2.75,-0.25
text48-BIO-LONG-2602.16750v1,-3.75,-0.75,0.25,-3.25,-10.25,-9.0,-7.75,5.5,0.0
text49-BIO-LONG-2511.10014v1,-1.5,0.0,-0.25,1.0,-1.0,-3.75,1.25,2.5,1.25
text50-BIO-LONG-2603.01054v1,2.0,2.25,-9.0,-4.0,-2.75,-6.75,-0.25,4.5,1.0
text51-CS-LONG-2602.11588v1,1.5,2.0,0.25,-3.5,-4.0,-1.75,2.25,3.75,6.5
text52-CS-LONG-2602.15675v1,0.25,0.0,0.0,-3.5,-13.75,-17.25,1.0,-7.25,1.0
text53-CS-LONG-2603.02012v1,-1.75,-1.75,-1.75,-1.5,-4.75,-8.25,-1.75,2.5,0.0
text54-CS-LONG-2602.23006v1,-2.25,-1.0,-4.5,0.5,0.25,-0.25,-1.25,0.25,-1.75
