score,condition,mean,ci_lo,ci_hi,p,n_texts
QI,BF_HI_HP,0.00523809523809519,-0.021309523809523858,0.02922767857142838,0.696,80
QI,BF_HI_LP,-0.012083333333333376,-0.03714285714285718,0.010715773809523677,0.33053,80
QI,BF_LI_HP,0.007380952380952358,-0.0189285714285714,0.032441964285714144,0.58774,80
QI,BF_LI_LP,-0.021249999999999998,-0.047261904761904755,0.0033348214285713104,0.10862,80
QI,NONE,0.0,0.0,0.0,,80
QI,WM_HI_HP,0.0025595238095237685,-0.023690476190476206,0.027559523809523766,0.85363,80
QI,WM_HI_LP,-0.025357142857142877,-0.05041666666666671,-0.0017842261904763073,0.042125,80
QI,WM_LI_HP,0.002678571428571433,-0.024107142857142817,0.027678571428571396,0.841385,80
QI,WM_LI_LP,-0.03303571428571429,-0.061249999999999985,-0.006011904761904765,0.02037,80
PI,BF_HI_HP,0.14895833333333336,0.10993055555555557,0.186875,0.0,80
PI,BF_HI_LP,0.020902777777777805,-0.015138888888888891,0.05646006944444433,0.253235,80
PI,BF_LI_HP,0.09347222222222225,0.05902777777777781,0.1277777777777778,0.0,80
PI,BF_LI_LP,-0.06006944444444444,-0.09305555555555554,-0.027083333333333327,0.000645,80
PI,NONE,0.0,0.0,0.0,,80
PI,WM_HI_HP,0.11381944444444443,0.07611111111111113,0.1529861111111111,0.0,80
PI,WM_HI_LP,-0.00784722222222223,-0.049999999999999996,0.033402777777777774,0.71144,80
PI,WM_LI_HP,0.04993055555555557,0.014928819444444432,0.08402777777777778,0.006305,80
PI,WM_LI_LP,-0.08465277777777777,-0.12173611111111109,-0.0484010416666668,5e-06,80
AR,BF_HI_HP,0.037083333333333315,-0.005000000000000008,0.07583333333333334,0.07892,80
AR,BF_HI_LP,0.0029166666666666534,-0.03500000000000001,0.03750000000000002,0.88955,80
AR,BF_LI_HP,0.019166666666666658,-0.020416666666666694,0.05624999999999999,0.34649,80
AR,BF_LI_LP,-0.02416666666666667,-0.06291666666666668,0.013333333333333303,0.2206,80
AR,NONE,0.0,0.0,0.0,,80
AR,WM_HI_HP,0.030000000000000016,-0.015833333333333317,0.07458333333333336,0.19876,80
AR,WM_HI_LP,-0.02249999999999999,-0.06916666666666664,0.022499999999999982,0.348585,80
AR,WM_LI_HP,0.020416666666666677,-0.020833333333333322,0.060416666666666674,0.324325,80
AR,WM_LI_LP,-0.045833333333333344,-0.08626041666666669,-0.006666666666666675,0.02694,80
