text_id,domain,arxiv
text01,BIO,2505.02276v1
text02,BIO,2507.04575v1
text03,BIO,2505.11568v3
text04,BIO,2507.08385v1
text05,BIO,2504.10973v1
text06,BIO,2506.14789v1
text07,BIO,2506.13576v3
text08,BIO,2503.19923v2
text09,BIO,2602.00019v1
text10,BIO,2506.13817v1
text11,CS,2506.09194v1
text12,CS,2512.19717v1
text13,CS,2510.04124v5
text14,CS,2509.13349v2
text15,CS,2602.03870v1
text16,CS,2509.06033v1
text17,CS,2509.16294v1
text18,CS,2507.09492v1
text19,CS,2509.14600v1
text20,CS,2503.14899v1
text21,PHY,2601.23079v1
text22,PHY,2601.23047v1
text23,PHY,2601.23057v1
text24,PHY,2509.16741v1
text25,PHY,2507.08042v1
text26,PHY,2512.23538v1
text27,PHY,2510.18500v1
text28,PHY,2508.20431v1
text29,PHY,2509.06825v1
text30,PHY,2509.17653v2
text31,MATH,2511.03536v1
text32,MATH,2603.02088v1
text33,MATH,2512.22134v3
text34,MATH,2509.00532v1
text35,MATH,2512.06844v1
text36,MATH,2503.09380v2
text37,MATH,2510.26426v1
text38,MATH,2512.04101v1
text39,MATH,2506.11609v2
text40,MATH,2507.15879v2
text41,BIO,2512.06709v1
text42,BIO,2503.07104v1
text43,BIO,2506.16577v1
text44,BIO,2505.20052v1
text45,BIO,2507.17897v4
text46,BIO,2505.05863v1
text47,BIO,2505.21094v1
text48,BIO,2602.16750v1
text49,BIO,2511.10014v1
text50,BIO,2603.01054v1
text51,CS,2602.11588v1
text52,CS,2602.15675v1
text53,CS,2603.02012v1
text54,CS,2602.23006v1
text55,CS,2602.21625v1
text56,CS,2602.13713v1
text57,CS,2603.00079v1
text58,CS,2603.01023v1
text59,CS,2602.19401v1
text60,CS,2602.18518v1
text61,PHY,2602.03885v1
text62,PHY,2511.21971v1
text63,PHY,2512.18015v1
text64,PHY,2602.23683v1
text65,PHY,2601.13267v1
text66,PHY,2512.24566v1
text67,PHY,2602.07636v2
text68,PHY,2512.18130v1
text69,PHY,2602.17389v1
text70,PHY,2602.08188v1
text71,MATH,2511.12781v1
text72,MATH,2602.06095v1
text73,MATH,2511.18101v1
text74,MATH,2512.15978v1
text75,MATH,2511.22140v1
text76,MATH,2602.20441v1
text77,MATH,2601.20851v2
text78,MATH,2512.17595v1
text79,MATH,2512.10129v1
text80,MATH,2512.10507v1
